TransactionID,CustomerTenureYears,CustomerSegment,EstimatedIncome,CreditScore,RiskFlag,FraudProbability,ChannelType,CustomerBehaviorScore
TXN00001,5,High Value,1725547,610,Low,0.167,Mobile,66
TXN00002,8,High Value,1079628,635,High,0.09,Intent,2
TXN00003,9,Mid Value,2035240,886,High,0.111,Intent,60
TXN00004,5,Low Value,2312248,659,Low,0.005,QR,45
TXN00005,0,Mid Value,1450683,675,Medium,0.085,Intent,25
TXN00006,0,Premium,1936528,843,Medium,0.176,QR,70
TXN00007,1,Mid Value,756368,851,Low,0.187,QR,18
TXN00008,7,High Value,2731802,716,High,0.185,Autopay,33
TXN00009,6,Premium,678684,823,High,0.241,Intent,62
TXN00010,9,Premium,254815,759,Medium,0.131,Mobile,4
TXN00011,2,Low Value,2013047,591,Medium,0.14,Mobile,45
TXN00012,4,Low Value,385916,689,High,0.077,QR,97
TXN00013,5,Mid Value,2238232,674,Medium,0.022,Mobile,53
TXN00014,2,Mid Value,2454285,611,Medium,0.237,Mobile,31
TXN00015,4,Mid Value,3162807,592,Low,0.007,Intent,41
TXN00016,2,Premium,1613257,854,Medium,0.151,Intent,14
TXN00017,4,High Value,224971,809,Low,0.053,Autopay,34
TXN00018,7,Low Value,1178097,840,High,0.202,Intent,37
TXN00019,7,Mid Value,2794725,675,Low,0.019,Autopay,42
TXN00020,9,Low Value,2277438,888,Medium,0.115,Intent,65
TXN00021,1,Low Value,2496961,856,Low,0.034,Intent,25
TXN00022,7,Mid Value,2585262,558,High,0.145,Mobile,47
TXN00023,0,High Value,844140,559,Medium,0.026,Mobile,24
TXN00024,6,Mid Value,1125190,820,High,0.125,Autopay,36
TXN00025,9,Premium,1642333,879,Medium,0.046,Mobile,36
TXN00026,9,Premium,1060379,670,Medium,0.153,Autopay,66
TXN00027,7,High Value,2052318,798,Medium,0.082,Intent,1
TXN00028,6,Mid Value,1913948,782,High,0.043,Autopay,95
TXN00029,9,Low Value,2081029,679,Low,0.238,Autopay,47
TXN00030,1,Low Value,1438945,882,Medium,0.08,Mobile,48
TXN00031,0,Mid Value,734021,749,High,0.118,Mobile,33
TXN00032,1,Mid Value,1936739,857,High,0.204,Mobile,82
TXN00033,8,Mid Value,1976894,756,Medium,0.11,Mobile,40
TXN00034,8,Premium,1566282,802,Medium,0.245,Mobile,3
TXN00035,3,High Value,1512111,576,Low,0.031,Mobile,78
TXN00036,9,Premium,1640965,876,Low,0.187,Mobile,15
TXN00037,8,Low Value,657128,634,High,0.045,Intent,25
TXN00038,7,Mid Value,1135113,573,Low,0.212,Intent,37
TXN00039,3,High Value,1887537,698,Medium,0.234,Mobile,41
TXN00040,6,Low Value,1746018,564,Medium,0.175,QR,1
TXN00041,5,Mid Value,547825,703,Low,0.075,QR,44
TXN00042,1,High Value,925532,777,Medium,0.176,Mobile,93
TXN00043,9,Premium,1812247,832,Medium,0.063,Autopay,33
TXN00044,3,Premium,580078,723,Medium,0.004,Intent,12
TXN00045,4,Premium,1079296,746,Medium,0.126,Autopay,8
TXN00046,8,Mid Value,3170493,574,Medium,0.134,QR,97
TXN00047,1,Premium,2150839,845,Low,0.166,QR,67
TXN00048,4,Low Value,3174721,859,Low,0.152,Mobile,91
TXN00049,0,High Value,1031049,895,Low,0.206,Autopay,90
